Order Date,Customer,Product,Qty,Sales Order,Planned Order,Production Order,Confirmed,Status,Delivery,Invoice,Billing Status,Amount
8/27/2004,Marta's Replicas Co.,Motorcycles,27,SO-3d1533ce,PL-13f21715,PO-c012a3ec,TRUE,Shipped,In Transit,INV-bf8adeae,Paid,2700
9/30/2004,"Toys of Finland, Co.",Motorcycles,29,SO-9d5ed2e2,PL-43308459,PO-8ec5a392,TRUE,Shipped,In Transit,INV-991914e1,Paid,2900
10/15/2004,Mini Classics,Motorcycles,20,SO-f9f9655d,PL-8a36deee,PO-f0e3b3cf,TRUE,Shipped,In Transit,INV-6289b1fe,Paid,2000
11/2/2004,Diecast Classics Inc.,Motorcycles,37,SO-c520767f,PL-9e438915,PO-c20c701e,TRUE,Shipped,In Transit,INV-38711983,Paid,3700
11/15/2004,Land of Toys Inc.,Motorcycles,26,SO-22ce7422,PL-f8f2ed71,PO-bd5f4087,TRUE,Shipped,In Transit,INV-e50682ce,Paid,2600
11/23/2004,"Tokyo Collectables, Ltd",Motorcycles,39,SO-1c2b298f,PL-a4805515,PO-4edcfbed,TRUE,Shipped,In Transit,INV-7720b853,Paid,2990.13
1/5/2005,Technics Stores Inc.,Motorcycles,22,SO-495b4cac,PL-f568fddc,PO-d8da0db3,TRUE,Shipped,In Transit,INV-f6fcafd4,Paid,2200
2/2/2005,"Australian Gift Network, Co",Motorcycles,22,SO-d9990af5,PL-53d90113,PO-5ef14e46,TRUE,Shipped,In Transit,INV-b637eb7d,Paid,2200
3/3/2005,FunGiftIdeas.com,Motorcycles,21,SO-e26ab247,PL-1fb48a18,PO-a8ebfff6,TRUE,Shipped,In Transit,INV-01db544d,Paid,1822.17
4/8/2005,"UK Collectables, Ltd.",Motorcycles,66,SO-efbb2dd2,PL-958b0a9a,PO-1db207cd,TRUE,Shipped,In Transit,INV-dc4d6d9e,Paid,6600
5/13/2005,Euro Shopping Channel,Motorcycles,56,SO-1454b10a,PL-ecb6a271,PO-08fa955b,TRUE,Disputed,Not in Transit,INV-1950daf9,Unpaid,5600
2/11/2003,Danish Wholesale Imports,Classic Cars,50,SO-82b5f58d,PL-91550754,PO-2ff6c70a,TRUE,Shipped,In Transit,INV-e59f6857,Paid,5000
4/28/2003,Salzburg Collectables,Classic Cars,46,SO-1c9c1cd1,PL-e814ff0e,PO-45854337,TRUE,Shipped,In Transit,INV-3592c45e,Paid,4600
6/12/2003,"Stylish Desk Decors, Co.",Classic Cars,33,SO-2bf36dbb,PL-9ab3d8b8,PO-8f37ca2a,TRUE,Shipped,In Transit,INV-81128f9a,Paid,3300
8/10/2003,Mini Creations Ltd.,Classic Cars,49,SO-f4e99a25,PL-39dc997c,PO-e2e6aa38,TRUE,Shipped,In Transit,INV-b7cbb920,Paid,4900
10/6/2003,"Toys of Finland, Co.",Classic Cars,32,SO-6d992ff7,PL-3764bd73,PO-9f212d0c,TRUE,Shipped,In Transit,INV-2cd19825,Paid,3200
10/23/2003,Scandinavian Gift Ideas,Classic Cars,44,SO-a95b060b,PL-8adda85a,PO-bce6f9bf,TRUE,Cancelled,Not in Transit,INV-9a0fc73e,Unpaid,4400
11/8/2003,Alpha Cognac,Classic Cars,24,SO-dd7e0717,PL-6507a8b9,PO-954eef1d,TRUE,Shipped,In Transit,INV-5f3bbc6b,Paid,2400
11/14/2003,"Double Decker Gift Stores, Ltd",Classic Cars,26,SO-90efbece,PL-b6be7129,PO-4757b05e,TRUE,Shipped,In Transit,INV-b32257ab,Paid,2600
11/26/2003,Enaco Distributors,Classic Cars,45,SO-43f764d2,PL-a58adb24,PO-fba31b33,TRUE,Shipped,In Transit,INV-e15b63a8,Paid,4500
1/9/2004,"Men 'R' US Retailers, Ltd.",Classic Cars,39,SO-f9deab8f,PL-335bbda2,PO-eba608cf,TRUE,Shipped,In Transit,INV-d530a1b0,Paid,3900
2/19/2004,Collectable Mini Designs Co.,Classic Cars,49,SO-57f18ec0,PL-99712e12,PO-2ca58098,TRUE,Shipped,In Transit,INV-ed8465d7,Paid,4900
5/7/2004,Land of Toys Inc.,Classic Cars,20,SO-d5ae3bb2,PL-ae038d54,PO-93cd2f7a,TRUE,Cancelled,Not in Transit,INV-5735a674,Unpaid,2000
6/17/2004,Quebec Home Shopping Network,Classic Cars,27,SO-c57c43c4,PL-9a44efb5,PO-16d63a0d,TRUE,Shipped,In Transit,INV-f7320dd7,Paid,2700
7/21/2004,Petit Auto,Classic Cars,30,SO-78f838b7,PL-f8d31d90,PO-efe127a8,TRUE,Shipped,In Transit,INV-e6879bed,Paid,3000
8/20/2004,"Royal Canadian Collectables, Ltd.",Classic Cars,25,SO-412c1b76,PL-ec22226d,PO-12100778,TRUE,Shipped,In Transit,INV-b6b31de0,Paid,2500
9/10/2004,Gifts4AllAges.com,Classic Cars,24,SO-0e48c8c5,PL-2f9f231d,PO-c3a3b182,TRUE,Shipped,In Transit,INV-e8a4dbe1,Paid,2400
10/14/2004,"Classic Gift Ideas, Inc",Classic Cars,22,SO-e3537031,PL-74d0886d,PO-8154feaf,TRUE,Shipped,In Transit,INV-95a012ff,Paid,2200
11/1/2004,giftsbymail.co.uk,Classic Cars,33,SO-ff31571a,PL-598ae480,PO-6265869a,TRUE,Shipped,In Transit,INV-649cd096,Paid,3300
11/5/2004,Baane Mini Imports,Classic Cars,47,SO-9cf41667,PL-985d1ab1,PO-bd7b57e9,TRUE,Shipped,In Transit,INV-79f5ce86,Paid,3051.71
11/21/2004,Classic Legends Inc.,Classic Cars,25,SO-b6f9b13f,PL-bc73a535,PO-c37b2094,TRUE,Shipped,In Transit,INV-d1bcc5a5,Paid,1201.25
12/2/2004,Euro Shopping Channel,Classic Cars,26,SO-759e3976,PL-e9ba10f5,PO-143b106b,TRUE,Shipped,In Transit,INV-9f40945a,Paid,1962.22
12/15/2004,Reims Collectables,Classic Cars,48,SO-97938467,PL-b93790dd,PO-761f88aa,TRUE,Shipped,In Transit,INV-a4840f0d,Paid,2624.64
1/31/2005,"Oulu Toy Supplies, Inc.",Classic Cars,39,SO-71043322,PL-edb452e4,PO-74b77af7,TRUE,Shipped,In Transit,INV-7103e514,Paid,3900
2/23/2005,Corporate Gift Ideas Co.,Classic Cars,34,SO-e897136b,PL-a8ed80f6,PO-e3903b27,TRUE,Shipped,In Transit,INV-65fea459,Paid,3400
3/17/2005,Lyon Souveniers,Classic Cars,32,SO-f8293617,PL-82106aa4,PO-f34741a7,TRUE,Shipped,In Transit,INV-8a66f702,Paid,3200
4/1/2005,The Sharp Gifts Warehouse,Classic Cars,64,SO-4c2d82ac,PL-fe338453,PO-59e70a7d,TRUE,Shipped,In Transit,INV-7049f9c1,Paid,6400
5/6/2005,Gifts4AllAges.com,Classic Cars,19,SO-1e0ca7be,PL-5b221986,PO-85935f33,FALSE,On Hold,Not in Transit,INV-1c1fe1c2,Unpaid,1900
1/29/2003,Baane Mini Imports,Classic Cars,42,SO-f4e55f9d,PL-f88634b0,PO-fe89f0fe,TRUE,Shipped,In Transit,INV-551b86f4,Paid,4200
4/1/2003,"La Corne D'abondance, Co.",Classic Cars,31,SO-93fdfb1e,PL-8298f4e7,PO-264f06d7,TRUE,Shipped,In Transit,INV-31719ee8,Paid,3100
5/28/2003,"Corrida Auto Replicas, Ltd",Classic Cars,22,SO-d7e56b17,PL-9cc07af1,PO-25a2bb3b,TRUE,Shipped,In Transit,INV-49181326,Paid,2200
7/24/2003,Technics Stores Inc.,Classic Cars,26,SO-d7c51b61,PL-b4724f35,PO-3d90011e,TRUE,Shipped,In Transit,INV-66bf1641,Paid,2600
9/19/2003,"Dragon Souveniers, Ltd.",Classic Cars,20,SO-ed481aba,PL-e41909a6,PO-c20b1ae6,TRUE,Shipped,In Transit,INV-d0fb3612,Paid,2000
10/21/2003,Mini Auto Werke,Classic Cars,21,SO-ed065758,PL-f6c5884a,PO-c2a9e837,TRUE,Resolved,Delivered,INV-07b8b3bc,Paid,2100
11/6/2003,"Stylish Desk Decors, Co.",Classic Cars,33,SO-e39ac1e3,PL-4ad8bb6c,PO-875418fd,TRUE,Shipped,In Transit,INV-f9f595b2,Paid,3300
11/13/2003,"Classic Gift Ideas, Inc",Classic Cars,28,SO-56038554,PL-53e609be,PO-08ce77b3,TRUE,Shipped,In Transit,INV-d4ca0e1f,Paid,2800
11/25/2003,"Saveley & Henriot, Co.",Classic Cars,26,SO-23b2a577,PL-59e2f979,PO-443c8642,TRUE,Shipped,In Transit,INV-93a341f4,Paid,2600
12/9/2003,Diecast Collectables,Classic Cars,31,SO-bf750602,PL-cb401ec6,PO-79200df9,TRUE,Shipped,In Transit,INV-ae263cdd,Paid,3100
2/4/2004,Handji Gifts& Co,Classic Cars,48,SO-5db6ece7,PL-2f649c56,PO-4a3e3350,TRUE,Shipped,In Transit,INV-335cb94a,Paid,4800
3/11/2004,Mini Gifts Distributors Ltd.,Classic Cars,50,SO-0b0463dd,PL-8e355c05,PO-0d856433,TRUE,Shipped,In Transit,INV-abe2f526,Paid,5000
5/4/2004,Super Scale Inc.,Classic Cars,28,SO-7ce59531,PL-4f68f964,PO-f818205a,TRUE,Shipped,In Transit,INV-334de6d3,Paid,2800
6/15/2004,Handji Gifts& Co,Classic Cars,26,SO-dda1de69,PL-2d673802,PO-1307fa0c,TRUE,Shipped,In Transit,INV-e1ba6013,Paid,2600
7/19/2004,Souveniers And Things Co.,Classic Cars,32,SO-dc913951,PL-7e4e347a,PO-aa3dd99e,TRUE,Shipped,In Transit,INV-0e9d4d20,Paid,3200
8/19/2004,Diecast Classics Inc.,Classic Cars,44,SO-0addf1a3,PL-e9d4ef0c,PO-03a105fe,TRUE,Shipped,In Transit,INV-272fe831,Paid,4400
9/8/2004,Scandinavian Gift Ideas,Classic Cars,30,SO-437755cf,PL-751baf95,PO-3b602390,TRUE,Shipped,In Transit,INV-4f3ebc6f,Paid,3000
10/13/2004,Marta's Replicas Co.,Classic Cars,38,SO-ce96c2dc,PL-f8d2a78d,PO-fe8798ba,TRUE,Shipped,In Transit,INV-671cc2b9,Paid,3800
10/22/2004,Canadian Gift Exchange Network,Classic Cars,40,SO-f5630552,PL-43888849,PO-3d4ac10e,TRUE,Shipped,In Transit,INV-f9081d7b,Paid,4000
11/4/2004,Online Diecast Creations Co.,Classic Cars,46,SO-30c5c6c9,PL-3275c61e,PO-8585e5a3,TRUE,Shipped,In Transit,INV-a43977c6,Paid,2851.54
11/19/2004,"Volvo Model Replicas, Co",Classic Cars,26,SO-b27782e4,PL-9cbc57c7,PO-38fd24c9,FALSE,On Hold,Not in Transit,INV-c915c5d9,Unpaid,2600
11/29/2004,"Australian Collectors, Co.",Classic Cars,27,SO-219fff70,PL-a4bae728,PO-2c76ceb0,TRUE,Shipped,In Transit,INV-ef677d5d,Paid,2700
12/10/2004,Mini Gifts Distributors Ltd.,Classic Cars,43,SO-99b6c763,PL-02645606,PO-a48abf18,TRUE,Shipped,In Transit,INV-2709bf92,Paid,4300
